Bug ID,Version,Test Case ID,Steps to reproduce,Expected Result,Actual Result
B_29,V1,TC-14/Customized statement ,"1- Enter The From date lager than the To date.
2- Move to the next field.","The system should display An error message
 ""To date must be larger than From date"".",No errors appear.
B_30,V1,TC-16/Customized statement ,"""1- Enter a date in the future from today's date.
2- Move to the next field.""","The system should display An error message
 ""From date is invalid"".",No errors appear.
B_31,V1,TC-21/Customized statement ,"""1- Enter a valid account number. 
2- Enter the From date. 
3- Enter the To date. 
4- Enter the amount lower limit.
5- Enter the number of transactions.
6- Click on """"Submit"""" button.""",The system should successfully show the customized statment.,Connection failed: Access denied for user 'root'@'localhost' (using password: NO)
,,,,,
B_32,V1,TC-04/Delete account,"1- Enter the account number starting with a space.
2- Press TAB.","The system should display An error message 
""account number shouldn't start with a space"".",No errors appear.
B_33,V1,TC-05/Delete account,"1- Enter a valid account number.
2- Press submit.",The system should display a message to confirm deleting the account.,Connection failed: Access denied for user 'root'@'localhost' (using password: NO)
,,,,,
B_34,V1,TC-03/Edit customer,"""1- Enter the ID containing characters.
2- Move to the next field.""","""The system should display An error message
 """"Characters are not allowed"""".""",No errors appear.
,,,,,
B_35,V1,TC-02/Delete Customer,"1- Enter Customer ID containing characters.
2- Move to the next field.","""The system should display An error message
 """"Characters are not allowed"""".""",No errors appear.
B_36,V1,TC-05/Delete Customer,"""1- Enter Customer ID have any spaces.
2- Move to the next field.""","""The system should display An error message
 """"Customer ID should not have any spaces"""".""",No errors appear.
